# file...... Load32_voltage.csv
# date...... Sat Jul  4 14:46:37 2020
# user...... gregor
# host...... (null)
# target.... load 1165
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,voltage_C.real,voltage_C.imag
2012-04-08 00:00:00 UTC,-0.0147446,+252.185
2012-04-08 00:30:00 UTC,+0.0767941,+252.223
2012-04-08 01:00:00 UTC,+0.0395357,+252.201
2012-04-08 01:30:00 UTC,+0.0332361,+252.199
2012-04-08 02:00:00 UTC,+0.0366138,+252.199
2012-04-08 02:30:00 UTC,+0.0323998,+252.194
2012-04-08 03:00:00 UTC,+0.0319716,+252.198
2012-04-08 03:30:00 UTC,+0.0107283,+252.188
2012-04-08 04:00:00 UTC,+0.0140969,+252.189
2012-04-08 04:30:00 UTC,+0.0115861,+252.187
2012-04-08 05:00:00 UTC,+0.0086943,+252.188
