# file...... Load53_voltage.csv
# date...... Sat Jul  4 14:49:39 2020
# user...... gregor
# host...... (null)
# target.... load 1219
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,voltage_B.real,voltage_B.imag
2012-04-08 00:00:00 UTC,-218.407,-126.08
2012-04-08 00:30:00 UTC,-218.22,-125.992
2012-04-08 01:00:00 UTC,-218.303,-126.055
2012-04-08 01:30:00 UTC,-218.316,-126.063
2012-04-08 02:00:00 UTC,-218.311,-126.062
2012-04-08 02:30:00 UTC,-218.321,-126.069
2012-04-08 03:00:00 UTC,-218.321,-126.047
2012-04-08 03:30:00 UTC,-218.366,-126.063
2012-04-08 04:00:00 UTC,-218.358,-126.058
2012-04-08 04:30:00 UTC,-218.365,-126.065
2012-04-08 05:00:00 UTC,-218.369,-126.064
2012-04-08 05:30:00 UTC,-218.377,-126.071
2012-04-08 06:00:00 UTC,-218.383,-126.071
2012-04-08 06:30:00 UTC,-218.376,-126.067
2012-04-08 07:00:00 UTC,-218.379,-126.081
2012-04-08 07:30:00 UTC,-218.407,-126.079
2012-04-08 08:00:00 UTC,-218.4,-126.09
2012-04-08 08:30:00 UTC,-218.391,-126.074
2012-04-08 09:00:00 UTC,-218.395,-126.078
2012-04-08 09:30:00 UTC,-218.4,-126.097
2012-04-08 10:00:00 UTC,-218.391,-126.096
2012-04-08 10:30:00 UTC,-218.397,-126.087
2012-04-08 11:00:00 UTC,-218.421,-126.084
2012-04-08 11:30:00 UTC,-218.399,-126.062
2012-04-08 12:00:00 UTC,-218.409,-126.055
2012-04-08 12:30:00 UTC,-218.403,-126.069
2012-04-08 13:00:00 UTC,-218.337,-126.031
2012-04-08 13:30:00 UTC,-218.378,-126.056
2012-04-08 14:00:00 UTC,-218.399,-126.091
2012-04-08 14:30:00 UTC,-218.355,-126.077
2012-04-08 15:00:00 UTC,-218.388,-126.083
2012-04-08 15:30:00 UTC,-218.376,-126.081
2012-04-08 16:00:00 UTC,-218.387,-126.086
2012-04-08 16:30:00 UTC,-218.417,-126.06
2012-04-08 17:00:00 UTC,-218.427,-126.081
2012-04-08 17:30:00 UTC,-218.42,-126.091
2012-04-08 18:00:00 UTC,-218.432,-126.067
2012-04-08 18:30:00 UTC,-218.407,-126.068
2012-04-08 19:00:00 UTC,-218.388,-126.082
2012-04-08 19:30:00 UTC,-218.396,-126.055
2012-04-08 20:00:00 UTC,-218.376,-126.057
2012-04-08 20:30:00 UTC,-218.361,-126.054
2012-04-08 21:00:00 UTC,-218.369,-126.047
2012-04-08 21:30:00 UTC,-218.378,-126.066
2012-04-08 22:00:00 UTC,-218.376,-126.069
2012-04-08 22:30:00 UTC,-218.386,-126.099
2012-04-08 23:00:00 UTC,-218.398,-126.113
2012-04-08 23:30:00 UTC,-218.408,-126.096
2012-04-09 00:00:00 UTC,-218.403,-126.105
2012-04-09 00:30:00 UTC,-218.227,-126.009
