# file...... Load1_voltage.csv
# date...... Thu Jul  2 12:27:10 2020
# user...... gregor
# host...... (null)
# target.... load 920
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,voltage_A.real,voltage_A.imag
2012-04-08 00:00:00 UTC,+218.076,-126.025
2012-04-08 00:30:00 UTC,+218.381,-126.066
2012-04-08 01:00:00 UTC,+218.272,-126.078
2012-04-08 01:30:00 UTC,+218.235,-126.07
2012-04-08 02:00:00 UTC,+218.269,-126.078
2012-04-08 02:30:00 UTC,+218.286,-126.092
2012-04-08 03:00:00 UTC,+218.208,-126.03
2012-04-08 03:30:00 UTC,+218.209,-126.041
2012-04-08 04:00:00 UTC,+218.234,-126.045
2012-04-08 04:30:00 UTC,+218.25,-126.056
2012-04-08 05:00:00 UTC,+218.254,-126.055
2012-04-08 05:30:00 UTC,+218.206,-126.058
2012-04-08 06:00:00 UTC,+218.167,-126.051
2012-04-08 06:30:00 UTC,+218.184,-126.049
2012-04-08 07:00:00 UTC,+218.107,-126.059
2012-04-08 07:30:00 UTC,+218.063,-126.034
2012-04-08 08:00:00 UTC,+218.142,-126.076
2012-04-08 08:30:00 UTC,+218.101,-126.044
2012-04-08 09:00:00 UTC,+218.093,-126.05
2012-04-08 09:30:00 UTC,+218.059,-126.054
2012-04-08 10:00:00 UTC,+218.061,-126.076
2012-04-08 10:30:00 UTC,+218.045,-126.07
2012-04-08 11:00:00 UTC,+217.98,-126.028
2012-04-08 11:30:00 UTC,+218.002,-126.017
2012-04-08 12:00:00 UTC,+217.917,-126.004
2012-04-08 12:30:00 UTC,+218.009,-126.034
2012-04-08 13:00:00 UTC,+218.174,-126.033
2012-04-08 13:30:00 UTC,+218.075,-126.045
2012-04-08 14:00:00 UTC,+218.04,-126.083
2012-04-08 14:30:00 UTC,+218.057,-126.092
2012-04-08 15:00:00 UTC,+217.855,-126.078
2012-04-08 15:30:00 UTC,+217.935,-126.103
2012-04-08 16:00:00 UTC,+217.977,-126.125
2012-04-08 16:30:00 UTC,+217.803,-126.02
2012-04-08 17:00:00 UTC,+217.921,-126.048
2012-04-08 17:30:00 UTC,+217.916,-126.053
2012-04-08 18:00:00 UTC,+217.853,-126.007
2012-04-08 18:30:00 UTC,+217.957,-126.043
2012-04-08 19:00:00 UTC,+217.994,-126.106
2012-04-08 19:30:00 UTC,+217.879,-126.04
2012-04-08 20:00:00 UTC,+217.992,-126.062
2012-04-08 20:30:00 UTC,+218.085,-126.054
2012-04-08 21:00:00 UTC,+218.045,-126.051
2012-04-08 21:30:00 UTC,+218.157,-126.048
2012-04-08 22:00:00 UTC,+218.181,-126.045
2012-04-08 22:30:00 UTC,+218.108,-126.072
2012-04-08 23:00:00 UTC,+218.059,-126.073
2012-04-08 23:30:00 UTC,+218.04,-126.044
2012-04-09 00:00:00 UTC,+218.075,-126.075
2012-04-09 00:30:00 UTC,+218.371,-126.115
2012-04-09 01:00:00 UTC,+218.376,-126.112
2012-04-09 01:30:00 UTC,+218.291,-126.115
2012-04-09 02:00:00 UTC,+218.293,-126.111
2012-04-09 02:30:00 UTC,+218.277,-126.111
2012-04-09 03:00:00 UTC,+218.156,-126.08
2012-04-09 03:30:00 UTC,+218.261,-126.073
2012-04-09 04:00:00 UTC,+218.273,-126.076
2012-04-09 04:30:00 UTC,+218.258,-126.08
2012-04-09 05:00:00 UTC,+218.24,-126.089
2012-04-09 05:30:00 UTC,+218.191,-126.078
2012-04-09 06:00:00 UTC,+218.176,-126.098
2012-04-09 06:30:00 UTC,+218.197,-126.065
2012-04-09 07:00:00 UTC,+218.174,-126.062
2012-04-09 07:30:00 UTC,+218.113,-126.079
2012-04-09 08:00:00 UTC,+218.151,-126.075
2012-04-09 08:30:00 UTC,+218.061,-126.061
2012-04-09 09:00:00 UTC,+218.08,-126.059
2012-04-09 09:30:00 UTC,+217.958,-126.015
2012-04-09 10:00:00 UTC,+217.979,-126.031
2012-04-09 10:30:00 UTC,+218.006,-126.017
2012-04-09 11:00:00 UTC,+218.024,-126.037
2012-04-09 11:30:00 UTC,+218.018,-126.014
2012-04-09 12:00:00 UTC,+218.115,-125.996
2012-04-09 12:30:00 UTC,+218.083,-126.008
2012-04-09 13:00:00 UTC,+217.838,-125.955
2012-04-09 13:30:00 UTC,+217.857,-125.937
2012-04-09 14:00:00 UTC,+217.784,-125.985
2012-04-09 14:30:00 UTC,+218.007,-126.036
2012-04-09 15:00:00 UTC,+218.014,-126.003
2012-04-09 15:30:00 UTC,+217.969,-125.997
2012-04-09 16:00:00 UTC,+217.975,-125.993
2012-04-09 16:30:00 UTC,+218.075,-125.991
2012-04-09 17:00:00 UTC,+217.961,-125.984
2012-04-09 17:30:00 UTC,+217.725,-125.911
2012-04-09 18:00:00 UTC,+217.963,-126.015
2012-04-09 18:30:00 UTC,+217.67,-125.955
2012-04-09 19:00:00 UTC,+217.833,-126.009
2012-04-09 19:30:00 UTC,+217.908,-126.017
2012-04-09 20:00:00 UTC,+217.749,-125.974
2012-04-09 20:30:00 UTC,+217.89,-126.015
2012-04-09 21:00:00 UTC,+217.777,-125.974
2012-04-09 21:30:00 UTC,+217.887,-125.994
2012-04-09 22:00:00 UTC,+218.011,-126.04
2012-04-09 22:30:00 UTC,+218.075,-126.043
2012-04-09 23:00:00 UTC,+218.097,-126.037
2012-04-09 23:30:00 UTC,+218.042,-126.024
2012-04-10 00:00:00 UTC,+218.097,-126.029
2012-04-10 00:30:00 UTC,+218.362,-126.073
2012-04-10 01:00:00 UTC,+218.207,-126.059
2012-04-10 01:30:00 UTC,+218.258,-126.082
2012-04-10 02:00:00 UTC,+218.26,-126.085
2012-04-10 02:30:00 UTC,+218.289,-126.093
2012-04-10 03:00:00 UTC,+218.239,-126.063
2012-04-10 03:30:00 UTC,+218.196,-126.024
2012-04-10 04:00:00 UTC,+218.194,-126.036
2012-04-10 04:30:00 UTC,+218.165,-126.032
2012-04-10 05:00:00 UTC,+218.172,-126.042
2012-04-10 05:30:00 UTC,+218.042,-126.031
2012-04-10 06:00:00 UTC,+217.895,-125.985
2012-04-10 06:30:00 UTC,+218.056,-126.017
2012-04-10 07:00:00 UTC,+218.127,-126.015
2012-04-10 07:30:00 UTC,+217.889,-125.953
2012-04-10 08:00:00 UTC,+217.977,-125.991
2012-04-10 08:30:00 UTC,+217.957,-126.007
2012-04-10 09:00:00 UTC,+217.997,-126
2012-04-10 09:30:00 UTC,+217.937,-125.978
2012-04-10 10:00:00 UTC,+218.002,-126.001
2012-04-10 10:30:00 UTC,+218.106,-126.025
2012-04-10 11:00:00 UTC,+218.064,-126.009
2012-04-10 11:30:00 UTC,+218.195,-126.014
2012-04-10 12:00:00 UTC,+218.013,-125.996
2012-04-10 12:30:00 UTC,+217.919,-125.967
2012-04-10 13:00:00 UTC,+217.786,-125.951
2012-04-10 13:30:00 UTC,+218.024,-126.045
2012-04-10 14:00:00 UTC,+217.937,-126.102
2012-04-10 14:30:00 UTC,+218.112,-126.083
2012-04-10 15:00:00 UTC,+218.043,-126.061
2012-04-10 15:30:00 UTC,+218.04,-126.019
2012-04-10 16:00:00 UTC,+218.178,-126.015
2012-04-10 16:30:00 UTC,+218.075,-125.999
2012-04-10 17:00:00 UTC,+217.879,-125.969
2012-04-10 17:30:00 UTC,+217.89,-126.014
2012-04-10 18:00:00 UTC,+217.817,-126.011
2012-04-10 18:30:00 UTC,+217.821,-126.031
2012-04-10 19:00:00 UTC,+217.761,-125.95
2012-04-10 19:30:00 UTC,+217.678,-125.937
2012-04-10 20:00:00 UTC,+217.773,-125.969
2012-04-10 20:30:00 UTC,+217.813,-125.986
2012-04-10 21:00:00 UTC,+217.909,-126.002
2012-04-10 21:30:00 UTC,+217.981,-126.021
2012-04-10 22:00:00 UTC,+217.989,-126.036
2012-04-10 22:30:00 UTC,+218.043,-126.044
2012-04-10 23:00:00 UTC,+218.075,-126.031
2012-04-10 23:30:00 UTC,+218.056,-126.029
2012-04-11 00:00:00 UTC,+218.01,-126.007
2012-04-11 00:30:00 UTC,+218.359,-126.057
2012-04-11 01:00:00 UTC,+218.298,-126.073
2012-04-11 01:30:00 UTC,+218.307,-126.075
2012-04-11 02:00:00 UTC,+218.348,-126.054
2012-04-11 02:30:00 UTC,+218.303,-126.039
2012-04-11 03:00:00 UTC,+218.23,-126.023
2012-04-11 03:30:00 UTC,+218.295,-126.044
2012-04-11 04:00:00 UTC,+218.242,-126.053
2012-04-11 04:30:00 UTC,+218.223,-126.075
2012-04-11 05:00:00 UTC,+218.238,-126.075
2012-04-11 05:30:00 UTC,+218.173,-126.072
2012-04-11 06:00:00 UTC,+218.138,-126.047
2012-04-11 06:30:00 UTC,+218.01,-125.978
2012-04-11 07:00:00 UTC,+217.932,-126.016
2012-04-11 07:30:00 UTC,+218.002,-126.048
2012-04-11 08:00:00 UTC,+217.936,-126.02
2012-04-11 08:30:00 UTC,+218.048,-126.02
2012-04-11 09:00:00 UTC,+218.088,-126.036
2012-04-11 09:30:00 UTC,+217.994,-125.99
2012-04-11 10:00:00 UTC,+217.87,-125.971
2012-04-11 10:30:00 UTC,+218.094,-126.091
2012-04-11 11:00:00 UTC,+218.186,-126.058
2012-04-11 11:30:00 UTC,+218.093,-126.054
2012-04-11 12:00:00 UTC,+218.156,-126.031
2012-04-11 12:30:00 UTC,+217.991,-125.981
2012-04-11 13:00:00 UTC,+217.83,-125.998
2012-04-11 13:30:00 UTC,+217.945,-126.059
2012-04-11 14:00:00 UTC,+217.921,-126.008
2012-04-11 14:30:00 UTC,+218.045,-125.998
2012-04-11 15:00:00 UTC,+217.905,-125.994
2012-04-11 15:30:00 UTC,+217.845,-125.993
2012-04-11 16:00:00 UTC,+217.919,-126.046
2012-04-11 16:30:00 UTC,+218.004,-126.044
2012-04-11 17:00:00 UTC,+217.969,-126.04
2012-04-11 17:30:00 UTC,+217.746,-125.984
2012-04-11 18:00:00 UTC,+217.741,-125.964
2012-04-11 18:30:00 UTC,+217.597,-125.908
2012-04-11 19:00:00 UTC,+217.713,-126.014
2012-04-11 19:30:00 UTC,+217.815,-126.01
2012-04-11 20:00:00 UTC,+217.889,-126.004
2012-04-11 20:30:00 UTC,+217.793,-126.006
2012-04-11 21:00:00 UTC,+217.884,-126.068
2012-04-11 21:30:00 UTC,+217.798,-126.014
2012-04-11 22:00:00 UTC,+217.96,-126.048
2012-04-11 22:30:00 UTC,+218.067,-126.062
2012-04-11 23:00:00 UTC,+218.166,-126.061
2012-04-11 23:30:00 UTC,+218.102,-126.045
2012-04-12 00:00:00 UTC,+218.076,-126.03
2012-04-12 00:30:00 UTC,+218.418,-126.083
2012-04-12 01:00:00 UTC,+218.278,-126.077
2012-04-12 01:30:00 UTC,+218.326,-126.089
2012-04-12 02:00:00 UTC,+218.316,-126.092
2012-04-12 02:30:00 UTC,+218.304,-126.095
2012-04-12 03:00:00 UTC,+218.246,-126.078
2012-04-12 03:30:00 UTC,+218.256,-126.063
2012-04-12 04:00:00 UTC,+218.257,-126.06
2012-04-12 04:30:00 UTC,+218.273,-126.066
2012-04-12 05:00:00 UTC,+218.273,-126.069
2012-04-12 05:30:00 UTC,+218.181,-126.056
2012-04-12 06:00:00 UTC,+218.108,-126.074
2012-04-12 06:30:00 UTC,+218.08,-126.067
2012-04-12 07:00:00 UTC,+217.999,-125.989
2012-04-12 07:30:00 UTC,+217.93,-125.991
2012-04-12 08:00:00 UTC,+218.087,-126.02
2012-04-12 08:30:00 UTC,+218.061,-126.016
2012-04-12 09:00:00 UTC,+218.057,-126.035
2012-04-12 09:30:00 UTC,+218.123,-126.036
2012-04-12 10:00:00 UTC,+218.157,-126.053
2012-04-12 10:30:00 UTC,+217.885,-125.981
2012-04-12 11:00:00 UTC,+217.897,-126.017
2012-04-12 11:30:00 UTC,+218.004,-126.002
2012-04-12 12:00:00 UTC,+218.002,-125.994
2012-04-12 12:30:00 UTC,+217.866,-125.981
2012-04-12 13:00:00 UTC,+217.97,-125.993
2012-04-12 13:30:00 UTC,+217.983,-126.023
2012-04-12 14:00:00 UTC,+218.061,-126.081
2012-04-12 14:30:00 UTC,+218.093,-126.141
2012-04-12 15:00:00 UTC,+218.077,-126.153
2012-04-12 15:30:00 UTC,+217.999,-126.051
2012-04-12 16:00:00 UTC,+218.095,-126.058
2012-04-12 16:30:00 UTC,+218.092,-126.059
2012-04-12 17:00:00 UTC,+217.961,-126.006
2012-04-12 17:30:00 UTC,+217.853,-125.989
2012-04-12 18:00:00 UTC,+217.793,-125.957
2012-04-12 18:30:00 UTC,+217.824,-126.026
2012-04-12 19:00:00 UTC,+217.898,-126.029
2012-04-12 19:30:00 UTC,+217.741,-125.973
2012-04-12 20:00:00 UTC,+217.691,-125.975
2012-04-12 20:30:00 UTC,+217.671,-125.949
2012-04-12 21:00:00 UTC,+217.899,-126.025
2012-04-12 21:30:00 UTC,+217.881,-126.015
2012-04-12 22:00:00 UTC,+217.945,-126.025
2012-04-12 22:30:00 UTC,+218.066,-126.047
2012-04-12 23:00:00 UTC,+218.074,-126.041
2012-04-12 23:30:00 UTC,+218.092,-126.031
